--- mv: 
- ido 1: 12107,24223
- ido 2: 960,1828
- ido 3: 599,1212
- pa: 415,837

--- mse: 
- ido 1: 8.511413281716348E-5,4.37835877297221E-5
- ido 2: 9.772629104118751E-5,5.243527436721124E-5
- ido 3: 1.1988946803286357E-4,6.42595557731321E-5
- pa: 1.463349259477246E-4,7.850921852847993E-5

--- rrd: 
- ido 1: 0.020748929696597963,0.010070363155209991
- ido 2: 0.018799247931107575,0.009696735158358828
- ido 3: 0.030172200821849383,0.01552763243253325
- pa: 0.04193241295318704,0.021731307791365593

--- rrd_reach: 
- ido 1: 0.06804272697876065,0.032925544163993396
- ido 2: 0.06977837848090332,0.03349829969135862
- ido 3: 0.06815705932564838,0.035859029093352694
- pa: 0.04193241295318704,0.021731307791365593


