--- mv: 
- ido 1: 25471,50921
- ido 2: 2366,4711
- ido 3: 1405,2823
- pa: 938,1870

--- mse: 
- ido 1: 3.952344063957453E-5,2.280039206021002E-5
- ido 2: 6.233611588352429E-5,3.7366470878278414E-5
- ido 3: 7.61020195317017E-5,5.0729971966275506E-5
- pa: 8.748452984240157E-5,5.748857860688331E-5

--- rrd: 
- ido 1: 0.0022633898911986272,0.0010694652441420114
- ido 2: 0.00207979098891991,0.0017279022889946176
- ido 3: 0.0022918437549523138,0.002131176753426316
- pa: 0.002107395047013458,0.0022950637220015336

--- rrd_reach: 
- ido 1: 0.0029102787731985834,0.0015548877470560776
- ido 2: 0.003325224365904033,0.001093617425702785
- ido 3: 0.0032370180938934173,0.0025483511379050102
- pa: 0.002107395047013458,0.0022950637220015336


