--- a set of result for sample size:50000
-mv: 51629,46211,46452,43172
-mse: 3.0353375068028728E-5,3.0435740956116036E-5,3.0484393737583405E-5,3.0379725243731906E-5
-rrd: 0.0011530080061532256,0.01401388114820845,0.013581148593684611,0.010132823984679679
-rrd_reach: 0.0037915432431270563,0.023313944869507226,0.00838335487990646,0.010132823984679679

--- a set of result for sample size:100000
-mv: 103319,92353,92017,86444
-mse: 1.6852558160100506E-5,1.543525510776183E-5,1.6074091236570635E-5,1.4956600581403823E-5
-rrd: 0.0029132884028759635,0.0022305289006250124,0.013415069967788535,0.0036748528052411773
-rrd_reach: 3.2152274256818514E-4,0.005960209354787393,2.5832644718882337E-4,0.0036748528052411773


