--- mv: 
- ido 1: 1021,2056
- ido 2: 969,1924
- ido 3: 976,1941
- pa: 978,1969

--- mse: 
- ido 1: 3.2811048126169136E-4,1.8516964053328576E-4
- ido 2: 3.297082508458424E-4,1.7874788390200317E-4
- ido 3: 3.3597718363161057E-4,1.8252156205291825E-4
- pa: 3.3911455262873016E-4,1.8102932774264943E-4

--- rrd: 
- ido 1: 0.0251684531511894,0.013945712098725565
- ido 2: 0.02511223189842366,0.013183360168966162
- ido 3: 0.024658608010079755,0.016276272622366986
- pa: 0.02593826190015555,0.013605604645862279

--- rrd_reach: 
- ido 1: 0.024861423930710225,0.015484177489407492
- ido 2: 0.028557087717731727,0.01713441405135346
- ido 3: 0.01993763170315584,0.018786111425881664
- pa: 0.02593826190015555,0.013605604645862279


