--- mv: 
- ido 1: 26247,52521
- ido 2: 5589,11008
- ido 3: 3256,6175
- pa: 2497,5002

--- mse: 
- ido 1: 5.630077648586854E-5,3.437947813091464E-5
- ido 2: 8.358303339677725E-5,6.127321465006959E-5
- ido 3: 1.0632942520758249E-4,7.43192315217714E-5
- pa: 1.309815585605817E-4,8.666856545217542E-5

--- rrd: 
- ido 1: 0.004628619791241548,0.003993528009508479
- ido 2: 0.010514244848899562,0.0056446304434036995
- ido 3: 0.009116081717747599,0.005651622641051524
- pa: 0.01599344417079238,0.00949106298195113

--- rrd_reach: 
- ido 1: 0.01739827192153031,0.015620290983498389
- ido 2: 0.02222813346103029,0.008804438377372137
- ido 3: 0.014269797059133582,0.009409837921664785
- pa: 0.01599344417079238,0.00949106298195113


