--- mv: 
- ido 1: 36,53,69,124,129
- ido 2: 34,58,82,106,139
- ido 3: 32,59,89,142,148
- pa: 29,42,66,90,110

--- mse: 
- ido 1: 0.005307096308757877,0.003340183434062804,0.003450466902296427,0.0031922225366297504,0.002078135380681331
- ido 2: 0.0053437325034472105,0.0036357845050432975,0.003043705638396261,0.0017649718637611632,0.0024283466834569035
- ido 3: 0.003114035985916869,0.0030931990803283044,0.0020175144973615606,0.002387907360632312,0.0027421872461297356
- pa: 0.008965046886554631,0.007974636046441493,0.006085879440526477,0.003943539448127789,0.003840008265168569

--- rrd: 
- ido 1: 0.1508187672975725,0.056027912479740816,0.039621822497078976,0.05522584042043423,0.02226246443730539
- ido 2: 0.10589736885403121,0.04878460239088345,0.021631116342592946,0.027909164848276442,0.018516190328871803
- ido 3: 0.08491577481345869,0.054565701238289174,0.03781963351590158,0.03637621277602961,0.03850256171918877
- pa: 0.1598465165338034,0.1142789169549146,0.051578992861297905,0.05127039062875034,0.05632424593656793

--- rrd_reach: 
- ido 1: 0.03664663670771921,0.04295835940963984,0.06585994782796888,0.046358127377995134,0.03812833139531445
- ido 2: 0.14815319451388292,0.05052639796253454,0.013920651650587888,0.03942975243835771,0.05180004967920249
- ido 3: 0.06242804955607187,0.04154887584732601,0.042253112103114124,0.06522037717300959,0.02845637742099463
- pa: 0.1598465165338034,0.1142789169549146,0.051578992861297905,0.05127039062875034,0.05632424593656793


